Local time,Ask,Bid,AskVolume,BidVolume,Mid
03.02.2025 00:01:13.171 GMT-0000,0.93821,0.93803,1.2,1.2,0.93812
03.02.2025 00:01:13.424 GMT-0000,0.93822,0.93803,2.7,1.2,0.938125
03.02.2025 00:01:13.626 GMT-0000,0.93823,0.93804,1.2,1.2,0.938135
03.02.2025 00:01:13.728 GMT-0000,0.93822,0.93804,1.35,1.2,0.93813
03.02.2025 00:01:14.082 GMT-0000,0.93822,0.93803,1.35,1.8,0.938125
03.02.2025 00:01:14.184 GMT-0000,0.93822,0.93802,2.7,1.2,0.93812
03.02.2025 00:01:14.286 GMT-0000,0.9382,0.938,1.2,1.2,0.9381
03.02.2025 00:01:14.489 GMT-0000,0.9382,0.938,1.8,1.8,0.9381
03.02.2025 00:01:14.742 GMT-0000,0.9382,0.938,3.15,1.8,0.9381
03.02.2025 00:01:14.994 GMT-0000,0.9382,0.93802,3.15,1.2,0.93811
03.02.2025 00:01:15.297 GMT-0000,0.93815,0.93795,1.2,1.8,0.93805
03.02.2025 00:01:15.450 GMT-0000,0.93816,0.93796,1.2,1.8,0.93806
03.02.2025 00:01:15.551 GMT-0000,0.93816,0.93797,1.2,1.2,0.938065
03.02.2025 00:01:15.755 GMT-0000,0.93818,0.938,1.2,1.2,0.93809
03.02.2025 00:01:16.058 GMT-0000,0.93818,0.93801,1.2,1.2,0.938095
03.02.2025 00:01:16.312 GMT-0000,0.93818,0.93799,1.2,1.2,0.938085
03.02.2025 00:01:16.614 GMT-0000,0.9382,0.93801,3.6,1.2,0.938105
03.02.2025 00:01:17.272 GMT-0000,0.9382,0.938,2.7,1.8,0.9381
03.02.2025 00:01:17.475 GMT-0000,0.93819,0.938,1.2,1.8,0.938095
03.02.2025 00:01:17.577 GMT-0000,0.9382,0.938,3.6,1.8,0.9381
03.02.2025 00:01:18.636 GMT-0000,0.9382,0.93801,1.2,1.2,0.938105
03.02.2025 00:01:18.839 GMT-0000,0.9382,0.938,1.2,1.8,0.9381
03.02.2025 00:01:18.941 GMT-0000,0.9382,0.93801,1.2,1.2,0.938105
03.02.2025 00:01:19.344 GMT-0000,0.9382,0.938,1.2,1.8,0.9381
03.02.2025 00:01:19.747 GMT-0000,0.9382,0.93801,1.2,1.2,0.938105
03.02.2025 00:01:19.900 GMT-0000,0.9382,0.938,1.2,1.2,0.9381
03.02.2025 00:01:20.002 GMT-0000,0.93821,0.93801,2.7,1.8,0.93811
03.02.2025 00:01:21.012 GMT-0000,0.93817,0.93797,1.2,1.8,0.93807
03.02.2025 00:01:21.114 GMT-0000,0.93818,0.93799,1.2,1.2,0.938085
03.02.2025 00:01:21.216 GMT-0000,0.93818,0.93798,1.2,1.8,0.93808
03.02.2025 00:01:21.454 GMT-0000,0.93817,0.93798,1.2,1.2,0.938075
03.02.2025 00:01:21.607 GMT-0000,0.93817,0.93797,1.2,1.8,0.93807
