id,t,x,y,z
"2760955","316","0.47661","0.115241","0.020248"
"2760956","317","0.477781","0.11683","0.0210021"
"2760957","318","0.478922","0.118442","0.0217553"
"2760958","319","0.48008","0.120097","0.0224504"
"2760959","320","0.481283","0.121839","0.023021"
"2760960","321","0.482551","0.123672","0.0234839"
"2760961","322","0.483881","0.125598","0.0238643"
"2760962","323","0.485262","0.127621","0.0242027"
"2760963","324","0.486672","0.129751","0.0245103"
"2760964","325","0.488077","0.13202","0.0248081"
"2760965","326","0.489421","0.134425","0.0251068"
"2760966","327","0.490643","0.136843","0.0254182"
"2760967","328","0.491702","0.139063","0.025772"
"2760968","329","0.49258","0.140862","0.026167"
"2760969","330","0.493317","0.142061","0.0265606"
"2760970","331","0.493934","0.142565","0.0268055"
"2760971","332","0.494466","0.142369","0.0267187"
"2760972","333","0.494952","0.141504","0.0261507"
"2760973","334","0.495405","0.140075","0.0251593"
"2760974","335","0.495825","0.138228","0.0240828"
"2760975","336","0.496273","0.136158","0.0232475"
"2760976","337","0.496774","0.134116","0.0229361"
"2760977","338","0.497289","0.132239","0.0234193"
"2760978","339","0.497805","0.130594","0.0244044"
"2760979","340","0.498322","0.129224","0.0254793"
"2760980","341","0.498829","0.128133","0.0263856"
"2760981","342","0.499323","0.127286","0.0270265"
"2760982","343","0.499808","0.126631","0.0274077"
"2760983","344","0.500289","0.126108","0.0275769"
"2760984","345","0.500777","0.125664","0.0275772"
"2760985","346","0.501279","0.125253","0.0274543"
"2760986","347","0.5018","0.124839","0.027234"
"2760987","348","0.502336","0.124402","0.0269178"
"2760988","349","0.502884","0.12393","0.0265105"
"2760989","350","0.503436","0.123419","0.0260156"
"2760990","351","0.503982","0.122873","0.0254627"
"2760991","352","0.504512","0.122301","0.0249015"
"2760992","353","0.505013","0.121706","0.0243376"
"2760993","354","0.505471","0.121095","0.0237741"
"2760994","355","0.505867","0.120488","0.023189"
"2760995","356","0.506191","0.1199","0.0225706"
"2760996","357","0.506437","0.119342","0.0219161"
"2760997","358","0.506597","0.118814","0.0212499"
"2760998","359","0.506662","0.118302","0.0206242"
"2760999","360","0.506624","0.117804","0.0200629"
"2761000","361","0.506475","0.117319","0.0195805"
"2761001","362","0.506207","0.116847","0.0191769"
"2761002","363","0.505812","0.116382","0.0187993"
"2761003","364","0.505289","0.115909","0.0184117"
"2761004","365","0.504639","0.115409","0.0179994"
"2761005","366","0.503872","0.114881","0.0175479"
"2761006","367","0.503","0.11433","0.0170632"
"2761007","368","0.502036","0.113749","0.0166157"
"2761008","369","0.500993","0.113148","0.0162481"
"2761009","370","0.499883","0.112542","0.0159865"
"2761010","371","0.498717","0.111945","0.0158225"
"2761011","372","0.497513","0.111377","0.015737"
"2761012","373","0.496285","0.11085","0.0157136"
"2761013","374","0.49504","0.11037","0.0157687"
"2761014","375","0.493778","0.109933","0.0159376"
"2761015","376","0.49249","0.109531","0.0161951"
"2761016","377","0.491161","0.109165","0.0164798"
"2761017","378","0.489781","0.108837","0.0167969"
"2761018","379","0.488351","0.108548","0.0171818"
"2761019","380","0.486887","0.108298","0.0176518"
"2761020","381","0.485397","0.108085","0.0181547"
"2761021","382","0.483888","0.107903","0.0186287"
"2761022","383","0.48237","0.107743","0.0190497"
"2761023","384","0.480848","0.107602","0.0194303"
"2761024","385","0.479329","0.107477","0.0197909"
"2761025","386","0.477813","0.107366","0.0201575"
"2761026","387","0.476293","0.107277","0.0205611"
